index,x,y,d_P,d_Q,v_max,v_min,beta_0,beta_1
0,0,0,0,0,1.21,0.81,0,0
1,-1,0,0.0201,0.0008,1.21,0.81,0,0
2,-1,-1,0.0201,0.0084,1.21,0.81,0,0
3,-1,-2,0.0201,0.0084,1.21,0.81,0,0
4,-2,-2,0.0173,0.0043,1.21,0.81,0,0
5,-2,-3,0.0291,0.0073,1.21,0.81,0,10
6,-2,-4,0.0219,0.0055,1.21,0.81,0,10
7,-1,-4,0.0235,0.0033,1.21,0.81,0,0
8,-1,-3,0.0235,0.0059,1.21,0.81,0,0
9,0,-3,0,0.0229,0.0008,1.21,0.81,0,0
10,0,-4,0.0217,0.0065,1.21,0.81,0,0
11,0,-5,0.0132,0.0033,1.21,0.81,0,0
12,1,-0,0.0201,0.0033,1.21,0.81,0,0
13,1,-1,0.0224,0.0083,1.21,0.81,0,0
14,1,-2,0.0224,0.0083,1.21,0.81,0,0
15,-3,-4,0.0235,0.0033,1.21,0.81,0,0
16,-3,-5,0.0235,0.0059,1.21,0.81,0,0
17,-3,-6,0.0229,0.0008,1.21,0.81,0,0
18,-2,-5,0.0217,0.0065,1.21,0.81,0,0
19,-2,-6,0.0132,0.0033,1.21,0.81,0,0
20,-2,-7,0.0201,0.0033,1.21,0.81,0,0
21,-1,-5,0.0224,0.0083,1.21,0.81,0,0
22,-1,-6,0.0224,0.0083,1.21,0.81,0,0
23,0,-6,0.0235,0.0033,1.21,0.81,0,0
24,0,-7,0.0235,0.0059,1.21,0.81,0,0
25,1,-5,0.0229,0.0008,1.21,0.81,0,0
26,1,-6,0.0217,0.0065,1.21,0.81,0,0
27,1,-3,0.0132,0.0033,1.21,0.81,0,0
28,1,-4,0.0201,0.0033,1.21,0.81,0,0
29,-2,0,0.0201,0.0033,1.21,0.81,0,0
30,-3,0,0.0201,0.0033,1.21,0.81,0,0
31,-4,0,0.0201,0.0033,1.21,0.81,0,0
32,-5,0,0.0201,0.0033,1.21,0.81,0,0
33,-6,0,0.0201,0.0033,1.21,0.81,0,0
34,-7,0,0.0201,0.0033,1.21,0.81,0,0
35,-5,-1,0.0201,0.0033,1.21,0.81,0,0
36,-5,-2,0.0201,0.0033,1.21,0.81,0,0
37,-6,-2,0.0201,0.0033,1.21,0.81,0,0
38,-7,-2,0.0201,0.0033,1.21,0.81,0,0
39,-5,-3,0.0201,0.0033,1.21,0.81,0,0
40,2,-2,0.0201,0.0033,1.21,0.81,0,0
41,3,-2,0.0201,0.0033,1.21,0.81,0,0
42,3,-3,0.0201,0.0033,1.21,0.81,0,0
43,3,-4,0.0201,0.0033,1.21,0.81,0,0
44,3,-5,0.0201,0.0033,1.21,0.81,0,0
45,3,-6,0.0201,0.0033,1.21,0.81,0,0
46,4,-4,0.0201,0.0033,1.21,0.81,0,0
47,5,-4,0.0201,0.0033,1.21,0.81,0,0
48,5,-5,0.0201,0.0033,1.21,0.81,0,0
49,5,-6,0.0201,0.0033,1.21,0.81,0,0
50,4,-2,0.0201,0.0033,1.21,0.81,0,0
51,5,-2,0.0201,0.0033,1.21,0.81,0,0
52,6,-2,0.0201,0.0033,1.21,0.81,0,0
53,5,-1,0.0201,0.0033,1.21,0.81,0,0
54,5,0,0.0201,0.0033,1.21,0.81,0,0
55,3,-1,0.0201,0.0033,1.21,0.81,0,0
56,3,0,0.0201,0.0033,1.21,0.81,0,0